,spending,advance_payments,probability_of_full_payment,current_balance,credit_limit,min_payment_amt,max_spent_in_single_shopping,spending_MinMaxScale,advance_payments_MinMaxScale,probability_of_full_payment_MinMaxScale,current_balance_MinMaxScale,credit_limit_MinMaxScale,min_payment_amt_MinMaxScale,max_spent_in_single_shopping_MinMaxScale,clusters
30,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,0.30122757318224735,0.34090909090909083,0.6152450090744095,0.32657657657657646,0.3749109052031361,0.30827341403476843,0.17380600689315573,3
31,11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044,0.11803588290840428,0.165289256198347,0.3992740471869318,0.15540540540540526,0.14682822523164663,0.3683444070264859,0.25849335302806464,2
32,12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,0.18508026440037795,0.23966942148760317,0.4328493647912879,0.24436936936936915,0.24091233071988616,0.47509394219142104,0.3234859675036925,2
33,15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091,0.4995278564683665,0.5144628099173554,0.8230490018148817,0.40484234234234195,0.6250890947968635,0.0,0.2816346627277202,3
34,11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,0.11614730878186985,0.20454545454545459,0.17513611615244962,0.2336711711711712,0.10477548111190305,0.4818551794978481,0.32447070408665635,2
35,11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999,0.056657223796034106,0.1322314049586777,0.15607985480943753,0.1976351351351351,0.03207412687099076,0.6563471115214086,0.3446578040374195,2
36,11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,0.05193578847969804,0.07851239669421428,0.4328493647912879,0.06306306306306331,0.11689237348538839,0.7311107932751695,0.26095519448547444,2
37,12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221,0.15391879131255926,0.18801652892561949,0.5181488203266778,0.18299549549549576,0.24019957234497524,0.6116189262635062,0.3456425406203838,2
38,11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,0.11520302171860264,0.21487603305785097,0.10617059891106972,0.2894144144144142,0.06129722024233808,0.5373753396871628,0.41014278680452954,2
39,19.51,16.71,0.878,6.3660000000000005,3.801,2.9619999999999997,6.185,0.8423040604343723,0.8884297520661155,0.6343012704174225,0.826013513513514,0.83464005702067,0.28564927381710853,0.8202855736090591,1
40,18.72,16.34,0.8809999999999999,6.218999999999999,3.6839999999999997,2.188,6.097,0.7677053824362607,0.8119834710743801,0.66152450090744,0.743243243243243,0.7512473271560938,0.18501085698682862,0.7769571639586412,1
41,13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805,0.30689329556185085,0.3161157024793386,0.7931034482758612,0.2393018018018016,0.5338560228082676,0.19424254638598865,0.14081733136385965,3
42,16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005,0.5930122757318226,0.6694214876033056,0.5145190562613431,0.698198198198198,0.5937277263007841,0.38108673887321387,0.7129492860659776,1
43,20.03,16.9,0.8811,6.492999999999999,3.8569999999999998,3.063,6.32,0.8914069877242685,0.9276859504132227,0.6624319419237743,0.8975225225225221,0.8745545260156804,0.2987816770468996,0.8867552929591334,1
44,10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194,0.018885741265344702,0.10743801652892548,0.023593466424681964,0.23536036036036068,0.012829650748396482,0.6107087597030258,0.3323485967503692,2
45,11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,0.05571293673276689,0.06404958677685935,0.5435571687840284,0.06193693693693669,0.12829650748396326,0.4272451858690141,0.15214180206794659,2
46,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,0.24268177525967904,0.2913223140495864,0.5272232304900175,0.3125,0.24590163934426257,0.011702141491893012,0.26440177252584895,3
47,19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999,0.7998111425873466,0.8347107438016526,0.7014519056261328,0.854166666666667,0.7761938702779758,0.19281228464809064,0.8094534711964547,1
48,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,0.7903682719546745,0.7830578512396689,0.9038112522686017,0.6486486486486487,0.9030648610121166,0.4640419196712999,0.606105366814377,1
49,18.83,16.29,0.8917,6.037000000000001,3.786,2.553,5.879,0.7780925401322001,0.8016528925619832,0.7586206896551726,0.6407657657657664,0.8239486813970063,0.23246954192617253,0.6696208764155585,1
50,12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067,0.202077431539188,0.27685950413223104,0.3421052631578938,0.28885135135135176,0.17961511047754786,0.35989286039345203,0.2698178237321516,2
51,18.72,16.19,0.8977,6.006,3.8569999999999998,5.324,5.879,0.7677053824362607,0.78099173553719,0.8130671506352094,0.623310810810811,0.8745545260156804,0.5927654760821232,0.6696208764155585,1
52,19.46,16.5,0.8985,6.1129999999999995,3.892,4.308,6.0089999999999995,0.837582625118036,0.8450413223140494,0.8203266787658787,0.6835585585585582,0.899501069137562,0.4606613010180864,0.733628754308222,1
53,19.38,16.72,0.8716,6.303,3.7910000000000004,3.678,5.965,0.8300283286118981,0.8904958677685948,0.576225045372051,0.7905405405405403,0.8275124732715613,0.3787463105748352,0.7119645494830129,1
54,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,0.7762039660056657,0.8016528925619832,0.7486388384754985,0.7730855855855858,0.757662152530292,0.32140581726455947,0.7552929591334316,1
55,16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001,0.5325779036827196,0.5723140495867765,0.697822141560799,0.5478603603603607,0.6001425516749823,0.3905784758610826,0.6907927129492863,1
56,12.38,13.44,0.8609,5.218999999999999,2.989,5.472,5.045,0.16902738432483488,0.2128099173553717,0.47912885662431925,0.18018018018017967,0.25588025659301494,0.6120089976465695,0.2589857213195468,2
57,11.83,13.23,0.8496,5.263,2.84,5.195,5.307,0.11709159584513706,0.16942148760330555,0.3765880217785842,0.20495495495495497,0.1496792587312903,0.5759924066104098,0.3879862136878387,2
58,10.93,12.8,0.8390000000000001,5.046,2.717,5.398,5.045,0.032105760151085905,0.080578512396694,0.2803992740471868,0.08277027027027062,0.062009978617248995,0.6023872368643463,0.2589857213195468,2
59,18.65,16.41,0.8698,6.285,3.594,4.391,6.102,0.76109537299339,0.8264462809917354,0.5598911070780392,0.7804054054054057,0.6870990734141127,0.47145327594949876,0.779419005416051,1
60,14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001,0.3966005665722381,0.4359504132231402,0.6696914700544454,0.36373873873873874,0.4711332858161088,0.25210313487368186,0.29148202855736116,3
61,11.41,12.95,0.856,5.09,2.775,4.957,4.825,0.07743153918791323,0.11157024793388404,0.43466424682395566,0.10754504504504503,0.10334996436208144,0.5450467435540705,0.15066469719350062,2
62,11.27,12.97,0.8419,5.088,2.763,4.309,5.0,0.06421152030217181,0.11570247933884303,0.30671506352087086,0.10641891891891886,0.09479686386315045,0.46079132481244073,0.2368291482028555,2
63,15.26,14.85,0.8696,5.7139999999999995,3.242,4.543,5.314,0.440982058545798,0.5041322314049586,0.5580762250453724,0.45889639639639634,0.43620812544547394,0.49121689269136265,0.3914327917282123,3
64,14.34,14.37,0.8726,5.63,3.19,1.3130000000000002,5.15,0.3541076487252126,0.4049586776859502,0.5852994555353899,0.411599099099099,0.39914468995010677,0.07124003692675764,0.31068439192516006,3
65,18.85,16.17,0.9056,6.152,3.806,2.843,6.2,0.779981114258735,0.7768595041322315,0.8847549909255896,0.7055180180180183,0.8382038488952246,0.2701764422889389,0.8276710979812898,1
66,20.71,17.23,0.8763,6.579,3.8139999999999996,4.4510000000000005,6.4510000000000005,0.9556185080264403,0.995867768595041,0.618874773139745,0.945945945945946,0.8439059158945115,0.4792547036107609,0.9512555391432795,1
67,14.11,14.1,0.8911,5.42,3.302,2.7,5.0,0.33238904627006605,0.34917355371900793,0.7531760435571684,0.293355855855856,0.47897362794012843,0.25158303969626444,0.2368291482028555,3
68,19.15,16.45,0.889,6.245,3.815,3.0839999999999996,6.185,0.8083097261567516,0.8347107438016526,0.7341197822141563,0.7578828828828832,0.8446186742694224,0.3015121767283413,0.8202855736090591,1
69,12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87,0.1510859301227574,0.16322314049586728,0.6370235934664237,0.13400900900900936,0.25017818959372806,0.37263519224018005,0.1728212703101919,2
70,13.54,13.85,0.8871,5.348,3.156,2.5869999999999997,5.178,0.2785646836638338,0.2975206611570247,0.7168784029038111,0.2528153153153152,0.3749109052031361,0.23689035093422095,0.32447070408665635,3
71,12.49,13.46,0.8658,5.267,2.967,4.421,5.002,0.17941454202077445,0.2169421487603307,0.523593466424682,0.2072072072072073,0.24019957234497524,0.4753539897801298,0.23781388478581933,2
72,20.1,16.99,0.8746,6.581,3.785,1.955,6.449,0.898016997167139,0.9462809917355366,0.6034482758620685,0.9470720720720722,0.8232359230220954,0.15471531290226115,0.9502708025603148,1
73,20.2,16.89,0.8894,6.285,3.864,5.172999999999999,6.187,0.9074598677998111,0.9256198347107438,0.7377495462794919,0.7804054054054057,0.8795438346400568,0.5731318831346136,0.8212703101920238,1
74,13.34,13.95,0.862,5.388999999999999,3.074,5.995,5.307,0.2596789423984893,0.3181818181818179,0.48911070780399246,0.2759009009009006,0.3164647184604419,0.6800114420939033,0.3879862136878387,2
75,18.94,16.32,0.8942,6.144,3.825,2.908,5.949,0.7884796978281401,0.8078512396694215,0.7813067150635202,0.7010135135135136,0.8517462580185315,0.2786279889219727,0.7040866568193005,1
76,15.03,14.77,0.8658,5.702000000000001,3.2119999999999997,1.933,5.439,0.41926345609065163,0.4876033057851239,0.523593466424682,0.4521396396396402,0.4148253741981469,0.15185478942646508,0.45297882816346613,3
77,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,0.14542020774315412,0.2727272727272725,0.0,0.27871621621621623,0.08196721311475441,0.5278836026992941,0.34515017232890166,2
78,16.82,15.51,0.8786,6.017,3.486,4.004,5.841,0.5882908404154865,0.6404958677685948,0.6397459165154267,0.6295045045045047,0.6101211689237351,0.4211340675343587,0.6509108813392417,1
79,14.29,14.09,0.905,5.291,3.3369999999999997,2.699,4.825,0.3493862134088763,0.34710743801652866,0.8793103448275854,0.2207207207207209,0.50392017106201,0.25145301590191005,0.15066469719350062,3
80,14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487,0.37110481586402266,0.45247933884297487,0.43194192377495444,0.4740990990990994,0.34426229508196715,0.09308403437829123,0.4766125061546034,3
81,12.88,13.5,0.8879,5.138999999999999,3.1189999999999998,2.352,4.607,0.21624173748819664,0.2252066115702478,0.7241379310344822,0.13513513513513464,0.34853884533143265,0.20633475926094474,0.04332840965041829,3
82,13.94,14.17,0.8728,5.585,3.15,2.124,5.012,0.3163361661945232,0.3636363636363633,0.5871143375680576,0.38626126126126126,0.3706343549536706,0.17668933414814914,0.2427375677006398,3
83,18.59,16.05,0.9066,6.037000000000001,3.86,6.001,5.877000000000001,0.7554296506137868,0.7520661157024793,0.8938294010889276,0.6407657657657664,0.8766928011404131,0.6807915848600296,0.6686361398325951,1
84,10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956,0.03021718602455148,0.080578512396694,0.2640653357531759,0.10641891891891886,0.03207412687099076,0.44388823154637297,0.21516494337764636,2
85,14.49,14.61,0.8538,5.715,3.113,4.1160000000000005,5.396,0.368271954674221,0.45454545454545414,0.41470054446460924,0.4594594594594592,0.34426229508196715,0.43569673250204805,0.4318069916297387,3
86,16.63,15.46,0.8747,6.053,3.465,2.04,5.877000000000001,0.5703493862134088,0.6301652892561984,0.6043557168784028,0.6497747747747749,0.5951532430506059,0.1657673354223823,0.6686361398325951,3
87,15.38,14.9,0.8706,5.8839999999999995,3.2680000000000002,4.462,5.795,0.45231350330500497,0.5144628099173554,0.5671506352087112,0.5546171171171168,0.45473984319315774,0.48068496534865884,0.6282619399310683,3
88,16.17,15.38,0.8588,5.7620000000000005,3.387,4.2860000000000005,5.702999999999999,0.5269121813031163,0.6136363636363638,0.4600725952813063,0.48592342342342354,0.5395580898075554,0.45780077754229037,0.5829640571147214,1
89,13.2,13.66,0.8883,5.236000000000001,3.2319999999999998,8.315,5.056,0.2464589235127479,0.2582644628099171,0.7277676950998178,0.18975225225225278,0.4290805416963648,0.9816666449960343,0.26440177252584895,2
90,13.99,13.83,0.9183,5.119,3.383,5.234,4.781000000000001,0.3210576015108595,0.29338842975206614,1.0,0.12387387387387383,0.5367070563079117,0.5810633345902302,0.12900049236829148,2
91,21.18,17.21,0.8989,6.5729999999999995,4.033,5.78,6.231,1.0,0.9917355371900825,0.823956442831216,0.9425675675675675,1.0000000000000002,0.6520563263077145,0.8429345150172325,1
92,15.26,14.84,0.871,5.763,3.312,2.221,5.22,0.440982058545798,0.5020661157024793,0.5707803992740468,0.4864864864864864,0.48610121168923714,0.1893016422005227,0.34515017232890166,3
93,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,0.05571293673276689,0.13016528925619797,0.16787658802177763,0.18074324324324298,0.04490377761938724,0.3337580777282243,0.23732151649433764,2
94,11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001,0.12086874409820592,0.12603305785123942,0.6479128856624312,0.13119369369369416,0.23022095509622287,0.3682143832321315,0.3018217626784834,2
95,18.43,15.97,0.9077,5.98,3.7710000000000004,2.984,5.905,0.7403210576015109,0.7355371900826446,0.9038112522686017,0.6086711711711716,0.813257305773343,0.2885097972929046,0.6824224519940914,1
96,19.57,16.74,0.8779,6.3839999999999995,3.772,1.472,6.273,0.8479697828139756,0.8946280991735533,0.633393829401089,0.8361486486486482,0.8139700641482535,0.09191382022910193,0.8636139832594778,1
97,16.16,15.33,0.8644,5.845,3.395,4.266,5.795,0.5259678942398491,0.6033057851239669,0.5108892921960067,0.5326576576576576,0.5452601568068427,0.4552003016552029,0.6282619399310683,1
98,10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995,0.021718602455146563,0.08677685950413183,0.15880217785843875,0.15822072072072046,0.0,0.5315242689412163,0.2806499261447559,2
99,17.63,15.86,0.88,6.0329999999999995,3.573,3.747,5.928999999999999,0.6647780925401323,0.7128099173553717,0.6524500907441011,0.6385135135135132,0.6721311475409835,0.38771795238528656,0.69423929098966,1
100,13.37,13.78,0.8849,5.32,3.128,4.67,5.091,0.26251180358829096,0.28305785123966887,0.6969147005444647,0.2370495495495497,0.3549536707056309,0.5077299145743672,0.2816346627277202,2
101,19.31,16.59,0.8815,6.341,3.81,3.477,6.2379999999999995,0.8234183191690274,0.8636363636363633,0.6660617059891099,0.8119369369369371,0.8410548823948683,0.3526115279096075,0.8463810930576066,1
102,15.38,14.66,0.899,5.477,3.465,3.6,5.439,0.45231350330500497,0.46487603305785097,0.8248638838475504,0.32545045045045073,0.5951532430506059,0.36860445461519464,0.45297882816346613,3
103,18.89,16.23,0.9008,6.227,3.7689999999999997,3.639,5.966,0.7837582625118038,0.7892561983471071,0.8411978221415612,0.7477477477477481,0.8118317890235207,0.3736753825950149,0.7124569177744955,1
104,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,0.481586402266289,0.4834710743801649,0.8865698729582583,0.35360360360360366,0.6300784034212399,0.10842684211210653,0.2594780896110289,3
105,18.94,16.49,0.875,6.445,3.639,5.064,6.362,0.7884796978281401,0.8429752066115697,0.6070780399274041,0.8704954954954958,0.719173200285103,0.5589592895499877,0.9074347612013787,1
106,18.36,16.52,0.8452,6.666,3.485,4.933,6.4479999999999995,0.7337110481586402,0.8491735537190079,0.3366606170598905,0.9949324324324329,0.6094084105488238,0.5419261724895656,0.9497784342688327,1
107,13.32,13.94,0.8613,5.541,3.073,7.035,5.44,0.2577903682719547,0.3161157024793386,0.4827586206896539,0.36148648648648685,0.31575196008553097,0.8152361882224449,0.45347119645494827,2
108,12.8,13.47,0.8859999999999999,5.16,3.1260000000000003,4.873,4.914,0.20868744098205871,0.21900826446280997,0.706896551724137,0.14695945945945965,0.3535281539558095,0.5341247448283037,0.19448547513540104,2
109,18.75,16.18,0.8999,6.111000000000001,3.8689999999999998,4.188,5.992000000000001,0.7705382436260624,0.7789256198347103,0.8330308529945558,0.6824324324324329,0.8831076265146114,0.44505844569556235,0.7252584933530284,1
110,15.6,15.11,0.858,5.832000000000001,3.286,2.725,5.752000000000001,0.4730878186968839,0.5578512396694211,0.4528130671506343,0.5253378378378382,0.4675694939415538,0.25483363455512364,0.6070901033973413,3
111,14.33,14.28,0.8831,5.504,3.199,3.3280000000000003,5.224,0.3531633616619454,0.38636363636363624,0.6805807622504538,0.3406531531531529,0.405559515324305,0.3332379825508069,0.3471196454948302,3
112,20.24,16.91,0.8897,6.315,3.9619999999999997,5.901,6.188,0.91123701605288,0.9297520661157024,0.7404718693284931,0.7972972972972974,0.9493941553813257,0.6677892054245929,0.8217626784835055,1
113,12.89,13.77,0.8541,5.495,3.0260000000000002,6.185,5.316,0.21718602455146385,0.2809917355371896,0.41742286751361046,0.3355855855855858,0.2822523164647188,0.704715963021233,0.3924175283111766,2
114,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,0.05854579792256853,0.14876033057851235,0.07803992740471788,0.2139639639639639,0.040627227369921526,0.7026355823115631,0.3722304283604134,2
115,17.32,15.91,0.8599,6.064,3.403,3.824,5.922000000000001,0.635505193578848,0.7231404958677685,0.4700544464609795,0.6559684684684686,0.5509622238061296,0.3977297845505728,0.6907927129492863,1
116,13.5,13.85,0.8852,5.351,3.158,2.249,5.176,0.27478753541076495,0.2975206611570247,0.6996370235934659,0.2545045045045047,0.3763364219529579,0.19294230844244498,0.3234859675036925,3
117,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,0.3484419263456091,0.3636363636363633,0.7831215970961889,0.2804054054054057,0.47612259444048477,0.7697278601984164,0.23732151649433764,2
118,11.48,13.05,0.8473,5.18,2.758,5.876,5.002,0.08404154863078395,0.1322314049586777,0.35571687840290345,0.15822072072072046,0.09123307198859609,0.6645386105657337,0.23781388478581933,2
119,20.97,17.25,0.8859,6.563,3.991,4.677,6.316,0.9801699716713881,1.0,0.7059891107078045,0.9369369369369367,0.9700641482537418,0.5086400811348477,0.8847858197932053,1
120,12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961,0.14069877242681783,0.16942148760330555,0.5290381125226853,0.11261261261261257,0.2181040627227373,0.08450246395090304,0.2176267848350566,3
121,11.56,13.31,0.8198,5.3629999999999995,2.6830000000000003,4.062,5.182,0.09159584513692165,0.1859504132231402,0.10617059891106972,0.2612612612612608,0.03777619387027831,0.4286754476069122,0.3264401772525849,2
122,12.46,13.41,0.8706,5.236000000000001,3.017,4.987,5.147,0.1765816808309728,0.20661157024793386,0.5671506352087112,0.18975225225225278,0.27583749109052014,0.5489474573847015,0.30920728705071365,2
123,12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005,0.1841359773371105,0.2603305785123964,0.3121597096188742,0.31081081081081097,0.1774768353528151,0.30125212913963256,0.4785819793205319,2
124,14.11,14.26,0.8722,5.52,3.168,2.688,5.218999999999999,0.33238904627006605,0.38223140495867725,0.5816696914700534,0.34966216216216184,0.38346400570206707,0.25002275416401204,0.3446578040374195,3
125,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,0.4173748819641172,0.4855371900826442,0.5226860254083485,0.5011261261261262,0.4383464005702067,0.13339141062814497,0.23732151649433764,3
126,18.3,15.89,0.9108,5.979,3.755,2.8369999999999997,5.962000000000001,0.7280453257790369,0.71900826446281,0.9319419237749553,0.6081081081081083,0.8018531717747683,0.2693962995228127,0.7104874446085674,1
127,11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995,0.07648725212464602,0.13842975206611552,0.26678765880217714,0.13344594594594605,0.09479686386315045,0.6270917577916759,0.2806499261447559,2
128,14.11,14.18,0.882,5.541,3.221,2.7539999999999996,5.038,0.33238904627006605,0.3657024793388426,0.6705989110707797,0.36148648648648685,0.42124019957234515,0.2586043245914002,0.2555391432791727,3
129,14.46,14.35,0.8818,5.388,3.377,2.802,5.044,0.3654390934844194,0.4008264462809916,0.6687840290381128,0.2753378378378377,0.5324305060584462,0.2648454667204099,0.25849335302806464,3
130,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,0.07271010387157695,0.1322314049586777,0.2731397459165148,0.15540540540540526,0.08909479686386312,0.426855114485951,0.3663220088626291,2
131,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,0.40321057601510857,0.46694214876033024,0.5399274047186928,0.43862612612612617,0.4476122594440486,0.17733945311992094,0.4096504185130474,3
132,12.36,13.19,0.8923,5.0760000000000005,3.042,3.22,4.605,0.16713881019830024,0.161157024793388,0.764065335753175,0.09966216216216228,0.29365645046329303,0.31919541276053526,0.04234367306745446,2
133,18.98,16.66,0.8590000000000001,6.5489999999999995,3.67,3.6910000000000003,6.497999999999999,0.7922568460812089,0.8780991735537187,0.46188747731397495,0.929054054054054,0.7412687099073414,0.38043661990144206,0.9743968488429342,1
134,12.05,13.41,0.8416,5.267,2.847,4.988,5.046,0.1378659112370162,0.20661157024793386,0.30399274047186875,0.2072072072072073,0.1546685673556667,0.549077481179056,0.2594780896110289,2
135,17.63,15.98,0.8673,6.191,3.5610000000000004,4.0760000000000005,6.06,0.6647780925401323,0.7376033057851239,0.5372050816696907,0.7274774774774775,0.6635780470420529,0.43049578072787337,0.7587395371738057,1
